addr,x,log1pexp,signed_raw,twos_complement
186,-5.090909090909091,0.006133575340582989,1,1
187,-5.075268817204301,0.006229959704139452,1,1
188,-5.059628543499511,0.006327853886073463,1,1
189,-5.043988269794721,0.006427281385735523,1,1
190,-5.0283479960899315,0.006528266063452798,1,1
191,-5.012707722385142,0.006630832145923407,1,1
192,-4.997067448680352,0.006735004231686549,1,1
193,-4.981427174975562,0.006840807296669371,1,1
194,-4.965786901270772,0.006948266699811519,1,1
195,-4.9501466275659824,0.00705740818876827,1,1
196,-4.934506353861193,0.007168257905693195,1,1
197,-4.918866080156403,0.007280842393101285,1,1
198,-4.903225806451613,0.007395188599813472,1,1
199,-4.887585532746823,0.007511323886983497,1,1
200,-4.871945259042033,0.007629276034208088,1,1
201,-4.8563049853372435,0.007749073245721366,1,1
202,-4.840664711632454,0.007870744156674494,1,1
203,-4.825024437927664,0.00799431783950147,1,1
204,-4.809384164222874,0.008119823810372103,1,1
205,-4.793743890518084,0.008247292035733053,1,1
206,-4.778103616813294,0.008376752938938015,1,1
207,-4.762463343108505,0.008508237406967928,1,1
208,-4.746823069403714,0.008641776797242257,1,1
209,-4.731182795698924,0.008777402944522271,1,1
210,-4.715542521994134,0.008915148167907394,1,1
211,-4.699902248289344,0.009055045277925501,1,1
212,-4.684261974584555,0.009197127583718233,1,1
213,-4.668621700879765,0.00934142890032226,1,1
214,-4.652981427174975,0.009487983556047564,1,1
215,-4.637341153470185,0.00963682639995361,1,1
216,-4.621700879765395,0.009787992809424525,1,1
217,-4.6060606060606055,0.00994151869784416,1,1
218,-4.590420332355816,0.01009744052237212,1,1
219,-4.574780058651026,0.010255795291821647,1,1
220,-4.559139784946236,0.010416620574640446,1,1
221,-4.543499511241446,0.010579954506995344,1,1
222,-4.527859237536656,0.010745835800961815,1,1
223,-4.512218963831867,0.010914303752819314,1,1
224,-4.496578690127077,0.011085398251453417,1,1
225,-4.480938416422287,0.011259159786865695,1,1
226,-4.465298142717497,0.011435629458792321,1,1
227,-4.449657869012707,0.011614848985432325,1,1
228,-4.4340175953079175,0.011796860712286458,2,2
229,-4.418377321603128,0.011981707621107625,2,2
230,-4.402737047898338,0.012169433338963757,2,2
231,-4.387096774193548,0.01236008214741411,2,2
232,-4.371456500488758,0.012553698991799842,2,2
233,-4.355816226783968,0.012750329490649805,2,2
234,-4.340175953079179,0.01295001994520242,2,2
235,-4.324535679374389,0.01315281734904452,2,2
236,-4.308895405669599,0.013358769397867998,2,2
237,-4.293255131964809,0.013567924499345152,2,2
238,-4.277614858260019,0.013780331783123496,2,2
239,-4.2619745845552295,0.013996041110940903,2,2
240,-4.24633431085044,0.01421510308686186,2,2
241,-4.23069403714565,0.014437569067635587,2,2
242,-4.21505376344086,0.014663491173176833,2,2
243,-4.19941348973607,0.014892922297170019,2,2
244,-4.18377321603128,0.015125916117797511,2,2
245,-4.168132942326491,0.015362527108592665,2,2
246,-4.152492668621701,0.015602810549418328,2,2
247,-4.136852394916911,0.015846822537571442,2,2
248,-4.121212121212121,0.016094619999014372,2,2
249,-4.105571847507331,0.016346260699733516,2,2
250,-4.0899315738025415,0.01660180325722578,2,2
251,-4.074291300097752,0.01686130715211344,2,2
252,-4.058651026392962,0.017124832739887866,2,2
253,-4.043010752688172,0.017392441262782575,2,2
254,-4.027370478983382,0.01766419486177606,2,2
255,-4.011730205278592,0.017940156588724738,2,2
256,-3.9960899315738025,0.01822039041862635,2,2
257,-3.9804496578690127,0.0185049612620142,2,2
258,-3.964809384164223,0.01879393497748242,2,2
259,-3.949169110459433,0.019087378384342452,2,2
260,-3.9335288367546433,0.019385359275411036,2,2
261,-3.9178885630498534,0.019687946429929663,3,3
262,-3.9022482893450636,0.019995209626615742,3,3
263,-3.886608015640274,0.020307219656845295,3,3
264,-3.870967741935484,0.020624048337967365,3,3
265,-3.855327468230694,0.02094576852674984,3,3
266,-3.8396871945259043,0.021272454132956697,3,3
267,-3.8240469208211145,0.021604180133056317,3,3
268,-3.8084066471163247,0.02194102258406073,3,3
269,-3.792766373411535,0.02228305863749534,3,3
270,-3.777126099706745,0.02263036655349875,3,3
271,-3.7614858260019552,0.022983025715052226,3,3
272,-3.7458455522971654,0.02334111664233823,3,3
273,-3.7302052785923756,0.023704721007227356,3,3
274,-3.714565004887586,0.024073921647893015,3,3
275,-3.698924731182796,0.02444880258355305,3,3
276,-3.683284457478006,0.024829449029337373,3,3
277,-3.6676441837732163,0.02521594741128071,3,3
278,-3.6520039100684265,0.025608385381439388,3,3
279,-3.6363636363636367,0.02600685183313097,3,3
280,-3.620723362658847,0.026411436916295574,3,3
281,-3.605083088954057,0.026822232052977443,3,3
282,-3.5894428152492672,0.027239329952925426,3,3
283,-3.5738025415444774,0.027662824629310686,4,4
284,-3.5581622678396876,0.02809281141456013,4,4
285,-3.5425219941348978,0.02852938697630365,4,4
286,-3.526881720430108,0.028972649333433364,4,4
287,-3.511241446725318,0.02942269787227283,4,4
288,-3.4956011730205274,0.029879633362854156,4,4
289,-3.4799608993157376,0.030343557975300504,4,4
290,-3.464320625610948,0.03081457529631213,4,4
291,-3.448680351906158,0.0312927903457528,4,4
